DATE,OPEN,HIGH,LOW,CLOSE
10/24/2024,9.320000,12.450000,8.960000,11.140000
10/25/2024,7.900000,15.770000,7.900000,15.170000
10/28/2024,9.070000,10.550000,8.180000,10.420000
10/29/2024,8.810000,13.200000,8.130000,11.750000
10/30/2024,9.130000,14.240000,8.390000,13.630000
10/31/2024,11.620000,19.560000,11.190000,19.220000
11/01/2024,12.150000,15.120000,9.860000,15.030000
11/04/2024,11.180000,15.110000,10.190000,14.600000
11/05/2024,12.210000,30.970000,12.070000,30.620000
11/06/2024,14.630000,16.010000,12.140000,14.870000
11/07/2024,12.600000,13.760000,11.170000,11.480000
11/08/2024,8.100000,9.840000,7.430000,9.440000
11/11/2024,7.500000,9.690000,6.910000,9.390000
11/12/2024,8.070000,11.920000,7.460000,11.570000
11/13/2024,8.650000,10.350000,7.540000,9.620000
11/14/2024,8.070000,12.660000,7.640000,11.970000
11/15/2024,9.360000,14.120000,8.960000,13.400000
11/18/2024,9.640000,10.340000,8.110000,10.260000
11/19/2024,11.370000,11.800000,8.850000,11.640000
11/20/2024,9.850000,19.490000,9.380000,19.110000
11/21/2024,11.010000,14.190000,10.530000,13.840000
11/22/2024,10.860000,11.190000,9.230000,9.930000
11/25/2024,7.770000,10.150000,7.160000,8.640000
11/26/2024,8.160000,9.110000,6.960000,8.640000
